KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
51362394,0,,,14,8,6,0,0,0,14,8,6,4,3,1,14,8,6,14,8,6,10,5,5,7,4,3,5,2,3,0,0,0,0,0,0,9,9,4,5,0,0,0,0,0,5,5,0,0,7,0,3,3
51362395,0,,,23,10,13,0,0,0,23,10,13,3,1,2,23,10,13,23,10,13,20,9,11,15,6,9,11,4,7,0,0,0,0,0,0,16,16,9,7,0,0,0,0,0,7,7,0,0,15,0,8,5
51362697,0,,,26,12,14,0,0,0,26,12,14,4,2,2,26,12,14,26,12,14,22,10,12,10,4,6,3,1,2,0,0,0,0,0,0,18,18,10,8,0,0,0,0,0,8,8,0,0,16,0,8,6
51363010,2,51363020,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363012,0,,,22,12,10,2,1,1,20,11,9,9,6,3,20,11,9,20,11,9,11,5,6,5,3,2,0,0,0,0,0,0,1,0,1,10,10,2,5,2,1,0,0,0,8,7,1,1,6,1,0,3
51363013,0,,,9,5,4,0,0,0,9,5,4,2,1,1,9,5,4,8,5,3,7,4,3,4,2,2,1,1,0,0,0,0,0,0,0,6,6,3,3,0,0,0,0,0,3,3,0,0,4,1,1,3
51363020,1,,51363010,6,4,2,0,0,0,12,7,5,3,2,1,12,7,5,12,7,5,9,5,4,9,5,4,2,2,0,0,0,0,0,0,0,3,3,1,4,1,0,0,0,0,5,5,0,0,5,0,0,3
51363040,0,,,65,35,30,0,0,0,65,35,30,16,11,5,65,35,30,65,35,30,49,24,25,26,14,12,7,4,3,1,0,1,0,0,0,40,40,21,14,4,1,0,0,0,19,18,1,0,35,0,16,10
51363050,0,,,55,32,23,3,1,2,52,31,21,28,19,9,51,30,21,51,30,21,24,12,12,14,6,8,2,1,1,0,0,0,1,1,0,38,38,26,9,1,2,0,0,0,11,11,0,1,19,6,13,4
51363051,2,51363061,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363060,0,,,14,6,8,0,0,0,14,6,8,2,1,1,14,6,8,14,6,8,12,5,7,9,2,7,3,0,3,0,0,0,0,0,0,11,11,8,3,0,0,0,0,0,3,3,0,0,11,0,8,2
51363061,1,,51363051,20,9,11,1,1,0,25,10,15,5,1,4,25,10,15,25,10,15,20,9,11,14,5,9,10,5,5,0,0,0,0,0,0,12,12,8,6,2,0,0,0,0,8,8,0,1,15,0,8,6
51363072,0,,,27,12,15,4,2,2,23,10,13,11,4,7,22,10,12,22,10,12,12,6,6,7,2,5,2,0,2,0,0,0,0,0,0,14,14,7,3,2,2,0,0,0,7,6,1,2,9,0,4,2
51363080,0,,,19,6,13,0,0,0,19,6,13,2,1,1,19,6,13,19,6,13,17,5,12,17,5,12,8,2,6,0,0,0,0,0,0,13,13,7,6,0,0,0,0,0,5,5,0,0,12,0,7,5
51363090,0,,,31,16,15,0,0,0,31,16,15,7,5,2,31,16,15,31,16,15,24,11,13,18,7,11,11,4,7,1,0,1,0,0,0,20,20,12,5,3,0,0,0,0,8,7,1,0,19,0,11,2
51363135,2,51363136,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51363136,1,,51363135;51363146,37,18,19,0,0,0,43,21,22,11,7,4,43,21,22,43,21,22,32,14,18,16,4,12,7,2,5,2,0,2,0,0,0,22,22,13,12,2,0,0,0,0,14,14,0,0,23,0,10,10
